<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>prone</b><br>adjective<br>/prəʊn/|likely to suffer or do the thing mentioned<br><b style='color:darkcyan;'>Examples:</b><br>- error-prone<br>- injury-prone
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;3&nbsp;</span> <b style='color:darkslategray;'>prone</b><br>adjective<br>/prəʊn/|lying flat with the front of your body touching the ground<br><b style='color:darkcyan;'>Examples:</b><br>- The victim lay prone without moving.<br>- He was found lying in a prone position.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>lurid</b><br>adjective<br>/ˈlʊrɪd/|too bright in colour, in a way that is not attractive<br><b style='color:darkcyan;'>Examples:</b><br>- She was wearing a lurid orange and green blouse.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>lurid</b><br>adjective<br>/ˈlʊrɪd/|presented in a way that is intended to shock <br><b style='color:darkcyan;'>Examples:</b><br>- lurid headlines<br>- The paper gave all the lurid details of the murder.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>estranged</b><br>adjective<br>/ɪˈstreɪndʒd/|no longer living with your husband, wife or partner<br><b style='color:darkcyan;'>Examples:</b><br>- his estranged wife Emma<br>- She is attempting to contact her estranged husband to break the news.<br>- He is being questioned in connection with the death of his estranged wife.<br>- She has been estranged from her husband since 1999.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>estranged</b><br>adjective<br>/ɪˈstreɪndʒd/|<b>(estranged (from somebody)) </b>no longer friendly or in contact with somebody<br><b style='color:darkcyan;'>Examples:</b><br>- He became estranged from his family after the argument.<br>- Formerly close friends, they had been estranged from each other for many years.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;3&nbsp;</span> <b style='color:darkslategray;'>estranged</b><br>adjective<br>/ɪˈstreɪndʒd/|<b>(estranged (from something)) </b>no longer involved in or connected with something, especially something that used to be important to you<br><b style='color:darkcyan;'>Examples:</b><br>- She felt estranged from her former existence.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>cramped</b><br>adjective<br>/kræmpt/|a cramped room, etc. does not have enough space for the people in it<br><b style='color:darkcyan;'>Examples:</b><br>- working in cramped conditions<br>- He lived for six months in a cold, cramped attic room.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>cramped</b><br>adjective<br>/kræmpt/|not having room to move freely<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;3&nbsp;</span> <b style='color:darkslategray;'>cramped</b><br>adjective<br>/kræmpt/|with small letters close together and therefore difficult to read<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>seismic</b><br>adjective<br>/ˈsaɪzmɪk/|connected with or caused by earthquakes<br><b style='color:darkcyan;'>Examples:</b><br>- seismic waves
